,count1,count0to1,count1to0
RAMA4_EB_FP1_TP3,0,0,0
RAMA4_EB_FP3_TP2,0,0,0
RAMA4_WB_FP3_TP2,0,0,0
RAMA4_WB_FP2_TP4,0,0,0
RAMA4_SB_FP4_TP5,0,0,0
RAMA4_NB_FP5_TP1,0,0,0
RAMA4_EB_FPX_TP1,0,0,0
RAMA4_NB_FPX_TP5,0,0,0
KLONGTEI_NB_FP3_TPX,0,0,0
NARANONG_SB_FP1_TP2,0,0,0
NARANONG_EB_FP1_TP2,0,0,0
NARANONG_WB_FP2_TP3_FLOW,0,0,0
NARANONG_EB_FP3_TP4,0,0,0
NARANONG_WB_FP4_TP5,0,0,0
NARANONG_SB_FP5_TP6,0,0,0
NARANONG_NB_FP6_TP1,0,0,0
NARANONG_SW_FPX_TP1,0,0,0
NARANONG_WB_FPX_TP2,0,0,0
SUNLAKAKHON_NB_FP2_TP3,0,0,0
SUNLAKAKHON_EB_FP3_TP4,0,0,0
SUNLAKAKHON_WB_FP3_TP4,0,0,0
SUNLAKAKHON_EB_FP4_TP1,0,0,0
SUNLAKAKHON_SB_FPX_TP1,0,0,0
SUNLAKAKHON_SB_FP1_TPX,0,0,0
MASUKGRIDLOCK_SUKHUMVUT_FPX_TP2,0,0,0
MASUKGRIDLOCK_ARI_NB_FPX_TP2,0,0,0
KASEMRAT_EB_FPX_TP2,0,0,0
KASEMRAT_EB_FP2_TP1,0,0,0
KASEMRAT_NB_FPX_TP3,0,0,0
KASEMRAT_EB_FPX_TP2_RAMA4,0,0,0
DETECTOR_FLOW_ALL,0,0,0
