,0
KASEMRAT_FP1_END_MAXGREEN,115
KASEMRAT_FP1_END_MINGREEN,116
KASEMRAT_FP2_END_MAXGREEN,0
KASEMRAT_FP2_END_MINGREEN,345
KASEMRAT_FP2_TP1_FLOW,30
KASEMRAT_FP3_END_MAXGREEN,85
KASEMRAT_FP3_END_MINGREEN,85
KASEMRAT_FPX_TP2_SUKHUMVIT,0
KASEMRAT_FPX_TP2_UNJAM_ARI,21
KASEMRAT_FPX_TP2_UNJAM_EB,0
KASEMRAT_FPX_TP2_UNJAM_EB_RAMA4,8
KASEMRAT_FPX_TP2_UNJAM_SUKHUMVIT,0
KASEMRAT_FPX_TP3_UNJAM,85
KLONGTEI_FP3_END_FLOW,94
KLONGTEI_NO_P3_MAXGREEN,94
KLONGTEI_P3_MAXGREEN,0
NARANONG_FP1_END_MAXGREEN,37
NARANONG_FP1_END_MINGREEN,48
NARANONG_FP1_END_OCC,20
NARANONG_FP2_END_FLOW,15
NARANONG_FP2_END_MINGREEN,11
NARANONG_FP2_END_OCC,5
NARANONG_FP3_END_FLOW,12
NARANONG_FP3_END_MAXGREEN,0
NARANONG_FP3_END_MINGREEN,60
NARANONG_FP4_END_MAXGREEN,10
NARANONG_FP4_END_MINGREEN,74
NARANONG_FP4_END_OCC,4
NARANONG_FP5_END_MAXGREEN,3
NARANONG_FP5_END_MINGREEN,56
NARANONG_FP5_END_OCC,5
NARANONG_FP6_END_MAXGREEN,6
NARANONG_FP6_END_MINGREEN,42
NARANONG_FP6_END_OCC,2
NARANONG_FPX_TP1_UNJAM,37
NARANONG_FPX_TP2_UNJAM,6
RAMA4_FP1_END_FLOW,77
RAMA4_FP1_END_MAXGREEN,1
RAMA4_FP1_END_MINGREEN,240
RAMA4_FP2_END_FLOW,11
RAMA4_FP2_END_MAXGREEN,7
RAMA4_FP2_END_MINGREEN,129
RAMA4_FP3_END_MAXGREEN,1
RAMA4_FP3_END_MINGREEN,21
RAMA4_FP3_END_OCC,9
RAMA4_FP3_END_UNJAM,9
RAMA4_FP4_END_MAXGREEN,4
RAMA4_FP4_END_MINGREEN,192
RAMA4_FP4_END_UNJAM,7
RAMA4_FP5_END_MAXGREEN,21
RAMA4_FP5_END_MINGREEN,75
RAMA4_FP5_END_OCC,9
RAMA4_FPX_TP1_UNJAM,69
RAMA4_FPX_TP5_UNJAM,7
SUNLAKAKHON_FP1_END_FLOW,12
SUNLAKAKHON_FP1_END_MAXGREEN,33
SUNLAKAKHON_FP1_END_MINGREEN,81
SUNLAKAKHON_FP2_END_FLOW,5
SUNLAKAKHON_FP2_END_MINGREEN,72
SUNLAKAKHON_FP3_END_FLOW,10
SUNLAKAKHON_FP3_END_MINGREEN,72
SUNLAKAKHON_FP3_TP4_UNJAM,13
SUNLAKAKHON_FP4_END_FLOW,10
SUNLAKAKHON_FP4_END_MAXGREEN,14
SUNLAKAKHON_FP4_END_MINGREEN,72
SUNLAKAKHON_FPX_TP1_UNJAM,2
