,0
KASEMRAT_FP1_END_MAXGREEN,10
KASEMRAT_FP1_END_MINGREEN,87
KASEMRAT_FP2_END_MAXGREEN,0
KASEMRAT_FP2_END_MINGREEN,201
KASEMRAT_FP2_TP1_FLOW,13
KASEMRAT_FP3_END_MAXGREEN,15
KASEMRAT_FP3_END_MINGREEN,180
KASEMRAT_FPX_TP2_SUKHUMVIT,110
KASEMRAT_FPX_TP2_UNJAM_ARI,224
KASEMRAT_FPX_TP2_UNJAM_EB,17
KASEMRAT_FPX_TP2_UNJAM_EB_RAMA4,211
KASEMRAT_FPX_TP2_UNJAM_SUKHUMVIT,28
KASEMRAT_FPX_TP3_UNJAM,60
KLONGTEI_FP3_END_FLOW,68
KLONGTEI_NO_P3_MAXGREEN,68
KLONGTEI_P3_MAXGREEN,0
NARANONG_FP1_END_MAXGREEN,8
NARANONG_FP1_END_MINGREEN,136
NARANONG_FP1_END_OCC,38
NARANONG_FP2_END_FLOW,20
NARANONG_FP2_END_MINGREEN,4
NARANONG_FP2_END_OCC,14
NARANONG_FP3_END_FLOW,17
NARANONG_FP3_END_MAXGREEN,0
NARANONG_FP3_END_MINGREEN,60
NARANONG_FP4_END_MAXGREEN,16
NARANONG_FP4_END_MINGREEN,117
NARANONG_FP4_END_OCC,3
NARANONG_FP5_END_MAXGREEN,0
NARANONG_FP5_END_MINGREEN,57
NARANONG_FP5_END_OCC,16
NARANONG_FP6_END_MAXGREEN,0
NARANONG_FP6_END_MINGREEN,57
NARANONG_FP6_END_OCC,6
NARANONG_FPX_TP1_UNJAM,36
NARANONG_FPX_TP2_UNJAM,3
RAMA4_FP1_END_FLOW,51
RAMA4_FP1_END_MAXGREEN,1
RAMA4_FP1_END_MINGREEN,156
RAMA4_FP2_END_FLOW,16
RAMA4_FP2_END_MAXGREEN,0
RAMA4_FP2_END_MINGREEN,72
RAMA4_FP3_END_MAXGREEN,2
RAMA4_FP3_END_MINGREEN,60
RAMA4_FP3_END_OCC,6
RAMA4_FP3_END_UNJAM,6
RAMA4_FP4_END_MAXGREEN,2
RAMA4_FP4_END_MINGREEN,126
RAMA4_FP4_END_UNJAM,4
RAMA4_FP5_END_MAXGREEN,17
RAMA4_FP5_END_MINGREEN,88
RAMA4_FP5_END_OCC,12
RAMA4_FPX_TP1_UNJAM,45
RAMA4_FPX_TP5_UNJAM,12
SUNLAKAKHON_FP1_END_FLOW,67
SUNLAKAKHON_FP1_END_MAXGREEN,10
SUNLAKAKHON_FP1_END_MINGREEN,213
SUNLAKAKHON_FP2_END_FLOW,11
SUNLAKAKHON_FP2_END_MINGREEN,103
SUNLAKAKHON_FP3_END_FLOW,14
SUNLAKAKHON_FP3_END_MINGREEN,102
SUNLAKAKHON_FP3_TP4_UNJAM,4
SUNLAKAKHON_FP4_END_FLOW,31
SUNLAKAKHON_FP4_END_MAXGREEN,3
SUNLAKAKHON_FP4_END_MINGREEN,102
SUNLAKAKHON_FPX_TP1_UNJAM,36
