throughput_KLONGTEI,throughput_KASEMRAT,throughput_NARANONG,throughput_SUNLAKAKHON,throughput_RAMA4, throughput_ATTHAKAVI_RAMA4,throughput,mean_speed,jamlength_percent
0,0,0,0,0,0,0,7.796983285317651,0.0
0,0,0,0,0,1,1,9.409419024932502,0.007485576416905071
0,0,0,0,0,0,0,9.788276901679186,0.03532087085456184
0,4,1,0,0,0,5,9.972230517427812,0.035320870854561835
0,2,1,0,2,0,5,10.000784192466332,0.03948607857074809
2,1,0,0,1,1,5,9.662738847393706,0.15478087660048565
0,6,0,2,1,0,9,9.578793906180671,0.18921536640732073
1,4,0,4,0,0,9,9.19819699102583,0.3101513613920554
2,9,2,8,1,6,28,9.514615240020655,0.24413662534036176
0,2,5,3,1,0,11,8.899214112156796,0.42654951028431226
8,9,1,17,1,3,39,9.439879272203967,0.3329249050005176
2,6,1,3,4,4,20,9.071428873483327,0.49318025701531315
9,10,4,5,8,5,41,9.308967642906172,0.4786325645771271
0,7,5,4,2,3,21,8.54031032897083,0.6994028062355901
0,11,6,2,13,3,35,8.318239946768806,0.984365177171016
28,7,10,6,6,5,62,8.139966451991087,1.0710403099800931
7,12,7,16,7,2,51,8.030034154253055,1.1641036047764626
9,9,6,0,14,10,48,8.604546152143655,0.9783674898492998
12,8,9,7,9,7,52,7.972911879295287,1.3250545110199934
3,8,6,6,10,3,36,7.413915592291075,1.6242180558418673
2,16,3,2,7,4,34,7.095347887236775,1.7703614699740986
0,7,9,3,3,12,34,6.561167764966907,2.14084514594138
13,11,4,5,1,2,36,6.554428786046017,2.3255512277108243
9,10,1,5,2,15,42,5.914631621546315,2.681512376912317
8,11,9,3,28,8,67,6.461369902791546,2.6076440311387628
7,3,6,5,5,6,32,5.677230872203757,2.924732890894465
11,14,5,6,11,12,59,5.693743321930017,3.0736496684166057
23,6,1,2,19,7,58,5.642986539626533,3.1420573996616254
0,10,8,2,7,11,38,4.709651590304201,3.7590762111557696
8,9,4,5,13,5,44,5.009373410115883,3.908305978315522
18,13,1,2,12,14,60,5.373564766622454,3.520370930933592
4,3,9,7,6,11,40,4.853950158847797,4.052224842839775
9,20,5,0,11,5,50,5.065497279414212,3.9483169628417403
9,5,7,6,17,13,57,5.173849176422957,4.038425087038312
8,17,9,5,9,6,54,4.97699283936394,4.195653986984213
8,7,6,5,11,11,48,5.030818592015999,4.201156177043705
22,15,4,7,8,7,63,4.90978600589218,4.427163944367227
11,7,11,3,16,6,54,4.3717603824684765,4.945998793981347
0,17,11,7,13,7,55,4.261124220119876,5.059465048663263
18,8,6,4,7,5,48,4.264354827518153,5.563284955113813
8,13,3,4,17,2,47,4.4135119645320415,5.559061743535427
20,7,2,2,11,1,43,4.075072951449611,5.77673291906123
5,6,9,9,4,4,37,3.7873757653311717,6.309974246450414
7,7,2,5,6,7,34,3.802908681457301,6.672225561418729
7,14,3,9,7,5,45,3.623924786816507,6.989626683335659
0,9,1,4,17,6,37,3.393562439812276,7.3852425631149785
14,1,2,7,4,0,28,3.252364188678357,7.786540822120145
15,18,6,4,9,5,57,3.216563156686103,7.586469433295865
10,12,5,5,8,1,41,3.298164973785054,7.553390323538061
8,8,1,2,11,6,36,3.151624041522528,8.206621726069462
12,8,11,5,13,0,49,3.431659579743688,8.324168210531274
17,11,7,5,12,5,57,3.3946781112977145,8.545485744815577
6,6,4,6,6,5,33,3.2007107110975257,8.569409299267184
9,8,5,6,15,0,43,3.358905415624154,8.863995416886326
17,8,0,7,8,0,40,3.271005328392612,9.276440809546962
8,6,7,4,15,0,40,3.0283715224940146,9.971463950772272
20,8,5,7,6,0,46,2.977224133382214,9.897734251000708
0,11,5,7,12,0,35,2.6367060652586973,10.367526366353475
9,7,0,9,9,0,34,2.5596173708266843,11.180036563023522
19,6,11,5,6,0,47,2.4868887875859063,11.320353054257849
5,7,13,8,19,0,52,2.4453745830031175,11.326015504364271
17,6,4,3,2,0,32,2.1729163244609637,11.56002246843705
9,4,10,4,12,0,39,2.2785639005630114,11.793171461737144
19,11,0,0,2,0,32,2.3198780823284046,11.847698358871163
10,6,4,8,19,0,47,2.5017153244172934,11.797669697405656
17,6,8,2,7,12,52,2.483114270244252,12.394926507973198
4,10,4,5,12,3,38,2.3351030350515547,12.762254545059381
6,9,5,11,13,7,51,2.315382699597033,12.38552146053935
6,12,6,7,9,7,47,2.385944486482498,12.220020163758534
3,20,8,8,7,0,46,2.238621583156473,12.992627281203347
11,5,5,5,9,6,41,2.292331086638629,12.947475171194558
4,13,7,6,7,3,40,2.2673177197112437,13.070785788906859
9,9,6,7,9,0,40,2.3315148888672463,13.02770735708884
4,4,5,3,10,0,26,2.1354517087481377,13.739955652618828
12,5,5,10,8,0,40,2.0212157774413853,14.037609008636558
3,8,5,0,5,0,21,1.9742213046280075,14.459488339361965
4,7,5,5,12,0,33,1.8341388186707719,14.472052263935812
18,12,5,2,10,0,47,1.9432256078808026,14.283351565192884
