throughput_KLONGTEI,throughput_KASEMRAT,throughput_NARANONG,throughput_SUNLAKAKHON,throughput_RAMA4, throughput_ATTHAKAVI_RAMA4,throughput,mean_speed,jamlength_percent,Backlog
0,0,0,0,0,0,0,7.8764396314290765,0.0,17
0,0,0,0,0,1,1,8.912429623297465,0.007551010726155326,35
0,1,0,0,0,0,1,9.838638487469835,0.024986370826265005,60
0,2,1,0,0,0,3,10.169151355244681,0.035320870854561835,84
1,2,1,1,0,0,5,9.621403962818546,0.08082405796799949,107
1,2,1,4,3,1,12,10.29322567842895,0.08245506820085738,139
0,1,0,2,0,1,4,9.258225036736466,0.22674975983143522,164
4,7,0,4,3,0,18,8.950806642362386,0.3175366352720206,181
3,12,0,5,0,4,24,9.7914514559691,0.21514875617412804,197
3,7,3,3,4,0,20,9.24328302576451,0.28891558029842795,231
6,7,3,9,1,2,28,8.852455337756172,0.4694187910718436,249
0,3,1,3,5,3,15,8.514660640084815,0.6300788800761068,281
8,4,1,14,5,6,38,9.074463859003574,0.5180272742940142,295
9,7,1,4,1,5,27,8.27778759559186,0.87203434447384,335
10,8,3,1,8,3,33,7.898775093699714,1.2395307021371453,369
12,7,6,5,12,5,47,7.5960723037983096,1.2923686787891147,380
4,9,4,14,7,5,43,7.436997683823087,1.4962687604078058,409
3,7,1,7,3,3,24,6.687558212885031,2.019624210672626,416
2,9,0,9,2,3,25,6.409104472721209,2.3711129684347885,442
5,21,8,7,2,11,54,6.495432242415171,2.257645210556991,448
13,19,4,11,9,6,62,6.96952958931828,2.088544159252184,476
10,10,8,6,20,4,58,6.672080520275574,2.221923572687502,484
16,8,10,10,5,8,57,6.277825691391278,2.5343139965371075,498
15,4,10,3,19,4,55,6.235539960037579,2.634918267628471,506
8,5,10,14,7,3,47,5.921509835274515,3.02604052545045,514
9,3,10,6,11,7,46,5.131239063044942,3.525143265282669,519
10,8,10,9,12,7,56,4.978984448927653,3.62372430115805,524
15,8,8,5,10,12,58,5.126158073595499,3.493342473256752,534
7,9,11,11,9,14,61,5.183781891251507,3.382243411990029,549
14,13,17,4,11,6,65,5.046966125311567,3.725317294255692,568
16,23,6,5,18,4,72,5.542700560992606,3.7380376767315195,559
2,17,4,5,16,6,50,5.286377049051005,4.085958029415197,582
5,11,2,8,1,3,30,5.10416212716153,4.5107526674614675,606
6,6,8,4,5,6,35,4.6537582348921545,4.799807586570581,619
14,9,8,11,3,8,53,4.689107324864098,4.85103214642229,648
8,5,8,16,10,12,59,4.645793850496714,4.700601695003593,655
9,10,8,9,21,14,71,4.8988312436167485,4.383888232633722,659
21,8,9,7,13,10,68,4.29844133672767,4.9641799142881755,677
17,11,4,5,12,7,56,4.040884855597967,5.731434242377964,670
6,10,6,10,4,7,43,3.943009483021144,6.1703829825843615,686
10,11,10,15,4,7,57,3.9881419907605067,5.875262482685335,699
11,20,12,8,5,6,62,4.012525963385027,5.871805127342651,694
9,19,9,11,13,10,71,4.412086222433186,5.565461342504438,701
12,23,10,16,6,10,77,4.681476570062253,5.41763234000497,740
18,19,7,8,11,8,71,4.607360027512062,5.548262183846368,758
5,12,3,6,12,7,45,4.145780418916835,6.478632602035709,767
7,7,13,6,7,6,46,4.078577759708483,6.432779006514578,781
5,9,16,4,5,7,46,3.9625918198194388,7.014963205671946,798
4,13,6,15,2,9,49,3.5626966384956122,7.455625486591321,810
12,7,1,19,2,10,51,3.1697810400613955,8.042694413487016,821
6,10,0,12,13,13,54,3.5258615793995016,7.729889498427361,837
13,13,7,14,22,13,82,3.7262529788299,7.7261665869543625,859
25,22,10,12,13,4,86,3.8632651446933175,7.466293457952053,862
12,22,7,5,10,8,64,3.841325746075453,7.905824994456774,880
10,20,5,12,3,6,56,3.8503447759035097,7.916925565305836,869
4,16,5,10,10,7,52,3.72705744757521,8.199576023437288,881
13,9,5,15,4,8,54,3.718512556761176,8.3307870057459,895
12,12,6,10,10,10,60,3.3088542558366547,8.633821534786012,901
7,7,7,13,7,9,50,3.0782571586416916,8.810523633109021,902
27,7,8,16,15,8,81,3.025570969661429,9.211205983425353,916
7,8,6,13,14,10,58,2.8785543588739,9.580853790420083,916
6,7,5,5,23,4,50,2.7067132348639307,9.84972226992523,918
5,9,2,4,5,8,33,2.74390846744261,10.257514246623487,949
8,23,1,5,3,4,44,2.8266546035880173,10.121225902854803,966
15,24,1,15,6,10,71,3.089481335064584,10.14165837166061,989
9,14,5,13,12,14,67,2.965956243702879,10.399288752049493,995
17,11,6,9,24,13,80,3.061341422271551,10.202808991435917,991
24,10,5,14,11,6,70,2.908100072103579,10.250750971050286,988
7,5,10,9,19,7,57,2.743275566068786,10.245046241984786,991
9,7,10,5,10,4,45,2.7360485643184287,10.849755375880648,1031
5,3,9,1,8,6,32,2.5632707194163826,11.19642693613073,1051
10,6,3,3,4,4,30,2.653985323683656,11.368368184359912,1089
8,8,11,15,5,13,60,2.7725329089253714,10.465589325408619,1090
13,7,9,10,8,13,60,2.509636529483543,11.563787255612075,1106
22,15,3,8,13,11,72,2.351621720185266,11.333041140574197,1083
8,22,0,13,10,6,59,2.564279664699854,11.674509302622791,1111
5,20,1,10,9,6,51,2.6229543264476445,12.35806729982081,1132
5,15,0,4,6,5,35,2.3902478916580807,12.96455944012103,1148
9,9,6,7,5,7,43,2.410166499865046,13.246884246822223,1160
5,7,15,3,3,12,45,2.240136556810478,13.713132936207224,1179
6,9,8,14,12,13,62,1.9269883760775024,14.12785408354933,1174
11,9,1,6,22,7,56,1.9042379708016026,14.484118994047382,1194
21,9,0,8,14,13,65,1.9121203127819244,14.681890536119376,1213
8,1,2,14,11,5,41,1.9732178329136114,14.765514676614858,1236
4,3,8,10,6,8,39,1.9432227965319666,15.145662538539154,1247
4,16,10,3,1,5,39,1.9412959557710585,14.944329898247293,1269
7,24,5,9,2,4,51,2.1913209075477322,14.823140623431303,1279
3,16,5,9,4,10,47,2.1338825645263215,14.71159929759341,1278
10,16,5,15,9,10,65,2.2273428753969933,14.783721981962694,1279
14,11,5,6,12,5,53,1.9720427285685291,14.825968674102771,1272
4,10,7,10,9,6,46,2.04409435546869,15.17844117487753,1298
4,6,4,10,11,6,41,1.920808358351241,15.81513241169183,1318
7,8,5,11,3,5,39,1.8063984559097879,16.002283457537413,1325
5,7,0,3,7,5,27,1.6801401375385443,16.96657383440775,1343
5,1,1,2,5,9,23,1.5897213923215643,17.290148846244865,1364
2,2,0,3,9,13,29,1.6044253189743314,17.779140940758445,1403
8,14,1,15,15,9,62,1.6610099675657386,17.527649723180225,1404
9,20,0,21,8,6,64,1.594284443433662,17.4972676659219,1383
4,20,1,6,4,7,42,1.6180101526461363,17.66361393129121,1410
0,13,4,11,4,8,40,1.7170429460256886,17.70741067796275,1428
3,10,5,5,0,7,30,1.7943882275200553,17.532132326973386,1440
