throuphput_KLONGTEI,throuphput_KASEMRAT,throuphput_NARANONG,throuphput_SUNLAKAKHON,throuphput_RAMA4,throuphput,mean_speed,jamlength_percent
0,0,0,0,0,0,7.796983285317651,0.0
0,0,0,0,0,1,9.377480314321463,0.007485576416905071
0,1,0,1,0,2,10.062175016440817,0.01800482078810721
0,2,1,0,1,4,10.281795502936303,0.02066900005659366
1,2,1,0,2,6,9.958968502521982,0.030783068744542296
3,1,0,0,1,6,9.851303149308627,0.13921655150469403
0,7,1,5,1,16,9.860802375796546,0.1751995198263828
1,3,2,4,0,10,9.226067929675903,0.2926331059108266
0,11,1,2,1,22,9.612551720966685,0.22423881672467036
6,5,1,8,2,23,9.417554169964124,0.3206523474317791
6,10,0,2,1,23,8.923970946244443,0.47446290531291224
3,7,4,3,8,30,9.029233803742828,0.5169034267182951
6,7,3,5,5,32,8.666429423269186,0.677191607634703
6,7,2,4,3,26,8.241409684136329,0.9690212618224371
1,9,6,5,16,43,8.383321179048382,1.0611486373267334
11,11,1,5,1,36,7.697779057179207,1.2894590443674938
15,8,6,6,9,59,7.743967344592202,1.364814154420837
9,11,3,1,7,38,7.343518979375487,1.5825876746928387
8,7,3,7,5,35,7.249888750378358,1.8017714663888629
8,4,4,6,6,34,6.930132425355042,1.9637674822597315
7,7,2,2,12,36,6.660882152072151,2.338820827619175
11,11,2,3,10,48,6.003011517330848,2.542806208328996
20,11,1,5,14,57,6.083868540500399,2.706034353334972
7,7,3,5,7,42,5.807459702858751,3.099615808897215
13,10,0,6,8,51,5.689249775828091,3.3552114576142333
2,11,4,3,3,30,5.068020257047929,3.835994383776918
11,8,10,12,3,46,4.760521993697386,3.793778975933127
7,4,7,18,13,69,5.316625037456263,3.523059161647212
3,10,6,20,6,51,5.533807766393263,3.4757310577712293
9,12,4,10,3,57,5.518610209875389,3.5703420475472707
10,9,5,18,10,68,5.827260995883408,3.420549013857359
4,9,1,5,2,27,5.1538158304550565,3.9470356339871535
8,14,14,2,9,63,5.180107847140046,4.052435674358041
4,8,2,2,11,30,4.78570321709123,4.493810117585563
10,22,16,11,15,81,5.021985067926191,4.175612932984009
7,8,10,17,6,75,4.9667119444529675,4.072052255122785
8,17,5,7,5,54,4.85223531744761,4.265223659319635
13,9,6,14,7,68,4.823290554384472,4.5102338197594545
7,18,5,9,6,58,4.756226461962855,4.627486185200903
7,13,6,5,4,43,4.365996038759213,5.329100722317344
7,6,6,5,11,62,4.309149017238725,5.367192925011221
9,11,5,8,5,48,3.9914317366000294,5.703465549491207
14,11,11,3,6,56,4.197755890575314,5.622989776099893
9,15,5,2,12,56,4.112537165503224,5.647817269010454
9,25,2,2,10,69,3.986463427142121,5.702511171996054
9,13,5,2,7,48,3.56269343491794,6.272992607569971
13,23,14,13,2,79,3.865042989273605,5.888675110930839
7,10,14,13,5,58,4.024513325806993,5.941906776268565
10,15,3,19,0,52,3.9065540969735797,6.323358375283859
2,10,15,14,5,50,3.7613702610691475,6.768739068164672
11,9,5,15,0,58,3.7522104476701315,6.775433299487109
7,15,11,20,3,65,3.5859967427818247,7.050646140191852
9,19,12,6,0,57,3.8149867981447074,7.208280926615665
4,9,5,17,8,54,3.8417779145492026,6.992187773005067
13,13,10,8,9,58,3.7542466160607777,7.221252758499412
10,14,4,7,0,44,3.574432864290074,7.633785596027241
6,19,5,15,7,56,3.5868624448098356,7.86892299557514
6,13,5,7,0,35,3.2779084877646762,8.072243197606925
5,11,6,14,11,66,3.40579630779438,8.123624992150194
3,19,14,4,0,43,3.370356333370364,7.987677673415692
10,7,6,4,2,35,2.8937975574880266,8.707224987330129
1,13,8,8,0,38,2.673899090991456,9.505659853514898
3,9,3,9,0,31,2.537097502767575,9.852415932871256
5,8,5,8,0,33,2.5541312707497488,10.451318222370242
0,5,0,6,0,25,2.442269647784445,10.782260829540178
0,12,3,1,2,21,2.180397999768027,11.680042083419492
0,13,0,8,0,27,2.0936753361994294,12.116875695568615
0,14,3,2,0,25,2.1529433673248737,12.38096649621063
0,12,2,9,0,28,2.014647097752025,12.73600809190432
0,9,0,6,0,20,1.9216654320606417,13.053665555977666
0,13,0,8,0,30,1.8529702029471924,13.512243220560265
0,14,2,5,0,24,1.8955028079138911,13.807520902218752
0,6,0,4,0,18,1.9832714222240186,14.236129915328588
0,10,0,6,0,20,1.7814515541046012,14.796800816063184
0,8,1,5,0,23,1.6753536587084743,15.108113356995268
0,14,1,17,0,38,1.6121914811688447,15.315054441830174
0,7,0,1,0,16,1.6336101393337392,15.636215173239599
0,7,0,9,0,23,1.4464209050742294,16.033275361446545
0,15,1,15,0,37,1.6099544531129508,16.04613041122741
0,6,0,5,2,20,1.5556566772191691,16.137577141848997
0,9,0,13,0,26,1.6266802359767412,16.320104750812163
0,9,0,15,0,30,1.6251887331052441,16.449732951694106
0,12,5,11,0,34,1.6632907679891578,16.46430553136782
0,9,5,15,0,36,1.6450214718885312,16.734319305635186
0,9,5,14,0,34,1.503345612673045,17.195050574771056
0,24,5,10,0,47,1.684444294666291,17.16984757227201
0,13,8,2,0,30,1.668807165872267,17.96735648026244
0,8,10,2,1,26,1.5114349504757727,18.57429664817312
0,7,4,2,4,21,1.4175608085513915,18.86583864352139
4,13,9,2,7,36,1.499696283762658,19.18674098073886
0,22,7,1,11,47,1.7829958576225227,18.546457241814988
8,14,12,5,13,58,1.688806303725408,18.75359691248333
0,13,18,3,5,48,1.7533186972386603,18.155392661930573
5,14,6,6,23,72,1.8049545136007774,18.06679984547771
0,13,4,2,26,50,1.5733949422567153,18.582450204224948
24,18,9,6,24,92,1.7509456591461072,18.529315354870956
0,12,14,3,12,48,1.4791574542356511,18.91283366075104
23,17,9,5,20,78,1.712476751479583,18.044642556672233
0,10,7,1,19,40,1.5674044254268276,18.550404563358597
21,6,11,6,24,80,1.6156449778422293,18.119765326616715
31,5,5,5,13,67,1.5986189490270883,17.22439131136154
8,10,3,5,16,60,1.7586867840132279,17.291380365197224
16,12,13,6,21,82,2.03287581202209,16.738065037360254
11,13,5,5,20,70,2.03262907562822,17.023733524784916
23,10,2,6,19,80,2.0354481310649417,17.313280469004027
0,0,5,1,18,37,1.7638349023066469,17.770257879634432
22,25,6,17,10,98,1.9924566429331625,16.93159932437381
13,15,5,7,10,67,1.85385414754316,17.169704844819
19,16,9,15,10,79,1.750006785002766,16.854840852260402
0,17,5,3,0,42,1.6643296832605992,17.093594689237378
16,15,5,3,12,58,1.6391435048246255,16.99514869347739
4,9,1,16,16,68,1.731933996239512,16.96928840363038
12,13,1,2,15,52,1.7610481284138806,17.311271984227865
8,8,3,1,20,64,1.8457087645924588,17.362368154537368
2,12,2,14,12,56,1.7802975543353148,17.370761968760924
15,11,0,4,2,44,1.4834179501494962,18.337046392536703
1,16,0,1,6,37,1.3977482996737707,19.142057825623933
1,8,8,2,4,38,1.3649461710794824,18.89693863535252
4,9,0,0,10,32,1.3453635580726262,19.13468323123968
10,24,5,4,2,59,1.337204616828317,19.401653438542887
0,21,1,4,6,43,1.1031903230844904,20.404779728248243
