throughput_KLONGTEI,throughput_KASEMRAT,throughput_NARANONG,throughput_SUNLAKAKHON,throughput_RAMA4, throughput_ATTHAKAVI_RAMA4,throughput,mean_speed,jamlength_percent,Backlog
0,0,0,0,0,0,0,8.696046663373663,0.0,12
0,0,0,0,0,0,0,9.83233657687533,0.0,31
0,0,0,0,0,0,0,9.235689762412827,0.031003500084890494,57
0,0,0,0,0,0,0,9.49017145600712,0.07687652865871443,83
0,0,3,0,1,2,6,9.41207302706092,0.13822831960867632,105
1,1,1,0,0,0,3,9.288824867309263,0.1708394174798393,134
2,3,1,0,0,0,6,9.442318922586637,0.24183772026676917,160
0,7,1,10,2,0,20,10.222098343136851,0.17807236215367722,179
3,5,3,4,0,0,15,9.702404958718914,0.22932179650995593,211
6,7,1,3,2,1,20,9.259015173525404,0.3558408961276686,246
5,4,1,3,6,3,22,8.934136386451089,0.4759142632873837,271
3,2,1,6,3,4,19,8.554194377778726,0.7105605688737039,303
2,14,2,3,3,1,25,7.97373626316741,0.9472875997614565,322
16,2,2,5,2,4,31,7.688038199635797,1.2006298955552794,343
7,4,0,4,8,7,30,7.138564878158061,1.549533338216979,368
8,6,0,0,7,5,26,6.343357602990944,1.9546022769514415,375
7,12,7,1,8,5,40,6.272028905533651,2.150189553734195,388
3,4,1,1,6,3,18,5.851668644215597,2.571129143766084,424
10,5,1,1,3,7,27,5.312196495300534,2.9613783697783878,444
7,8,1,17,10,4,47,5.332810016699313,2.9541575719814825,458
8,6,3,4,7,2,30,5.265814706492349,3.2452747296427806,493
7,7,13,3,4,0,34,5.169869222079853,3.4338731826345956,522
9,4,11,1,9,5,39,5.0802221427870515,3.7715695859796714,540
12,7,10,3,9,3,44,4.715203197396067,4.177783286827153,556
8,7,10,13,6,8,52,4.736700512656467,4.344068144363954,568
6,8,12,13,3,5,47,5.01309047552636,4.063318815837796,585
4,10,5,12,4,5,40,5.082360864186347,4.435075956587728,626
6,6,7,10,22,4,55,5.2474553691166745,4.156003815710005,626
15,4,9,7,28,5,68,5.579147016745366,3.9230407735981325,639
11,20,8,3,22,7,71,5.641244068812082,3.7898907878443437,663
9,11,8,2,12,5,47,5.282926052075351,4.235303732402115,689
11,5,11,2,19,11,59,5.119686784020183,4.548108082015228,703
11,10,12,4,11,12,60,4.96834341580631,4.961656260396715,725
8,7,10,2,8,14,49,4.467421114165052,5.506865817141855,740
