throughput_KLONGTEI,throughput_KASEMRAT,throughput_NARANONG,throughput_SUNLAKAKHON,throughput_RAMA4, throughput_ATTHAKAVI_RAMA4,throughput,mean_speed,jamlength_percent,Backlog
0,0,0,0,0,0,0,9.904311108768514,0.0,12
0,0,0,0,0,0,0,9.510618986914455,0.01033450002829683,29
0,0,0,0,0,0,0,10.022759566896088,0.025972844830059516,47
0,0,0,0,0,0,0,9.870536560620804,0.025972844830059516,74
1,0,0,1,0,0,2,10.333945156036938,0.08519748163136198,102
1,2,2,0,1,1,7,9.692544718728476,0.1610700015374209,136
0,5,0,0,1,1,7,9.59040697712632,0.21950449024332105,151
1,3,2,9,0,1,16,9.781123340995398,0.22396879390330995,183
1,4,1,0,1,2,9,9.565911879737097,0.3048554958352322,215
4,7,1,1,2,2,17,9.609625254065127,0.3680565639198997,243
5,5,1,2,3,7,23,9.189191544933953,0.5175431478361121,276
5,9,0,4,3,6,27,8.801754790284336,0.6614450677980692,295
2,18,2,3,4,5,34,8.091185174206931,0.7841682703197494,329
18,10,1,0,2,5,36,8.058923419855786,0.9231542675832608,344
8,13,0,2,9,6,38,7.6906583991621265,1.2702216059362201,367
6,6,0,17,3,4,36,7.2251683175567365,1.4735316566947083,383
8,10,8,6,9,4,45,6.976430203527641,1.6296321900755324,393
7,4,3,3,5,7,29,6.673353748007174,2.0148863283418246,415
7,8,1,3,5,10,34,6.078473204420472,2.381180578908318,433
11,21,4,5,6,8,55,5.76408250830267,2.589869639086577,430
8,12,1,3,9,1,34,5.54338619025229,2.7581101004970576,454
8,4,2,2,6,8,30,5.570720377113237,2.9204780254208984,480
6,4,14,4,5,7,40,5.44022238877869,3.121514918375812,506
6,7,10,15,5,3,46,5.584406744696146,3.019662256126651,525
5,7,9,14,6,7,48,5.571085954729465,3.1293581982498506,546
6,10,8,3,9,6,42,5.487648267207506,3.534977668684829,559
7,10,14,0,3,6,40,5.095412606153281,3.9837051819406715,573
5,11,6,1,3,2,28,4.738623253907261,4.597720783356953,596
3,5,11,17,22,3,61,5.080967414599006,3.9774488970182764,597
15,4,7,14,28,10,78,5.477290418063199,3.971236060303869,631
13,6,7,1,19,10,56,5.20216126151666,4.4311055310594645,653
8,11,8,0,6,4,37,5.121926354177181,4.5997842139970935,682
10,19,7,2,5,12,55,5.05783337082454,4.39040779878193,690
10,19,7,11,2,13,62,4.85645020871453,4.608416792329403,700
7,13,6,7,7,18,58,4.561984371335455,5.056417334680182,711
12,15,8,4,7,14,60,4.131814569482114,5.593496857404532,713
6,13,6,1,7,12,45,3.961973219131837,5.916404317362173,732
11,22,11,0,7,12,63,3.973899531682056,6.194052896195582,742
10,11,8,1,6,13,49,3.721609610709878,6.556342610972366,753
10,7,7,1,3,10,38,3.463414718179546,7.144075433469686,774
9,5,7,2,6,8,37,3.1777390599691624,7.418297408349061,782
9,7,6,2,15,8,47,3.1379654748685155,7.545749114898546,802
11,8,9,1,24,6,59,3.1381692664878016,7.796748587099573,813
39,6,8,1,20,8,82,3.080758873127664,7.870843679280627,820
7,5,6,17,12,5,52,3.0990453383916243,8.073391848115,840
29,7,11,20,9,9,85,3.3266240905801507,7.510554647752371,809
12,5,14,22,7,8,68,3.401809785245536,7.310468115957701,798
10,10,10,9,6,4,49,3.202458154779624,7.70147419816522,809
6,8,10,13,6,10,53,3.1683933530832378,7.735820352169792,817
4,8,9,15,10,6,52,3.127214202850632,7.68072152902521,817
10,16,6,12,5,10,59,3.30738260248168,7.610290304556106,828
6,20,5,16,10,4,61,3.334034755007836,7.571262379057808,836
7,11,6,11,8,4,47,3.3546546248336737,7.600521697877946,866
7,6,13,6,4,6,42,3.205795228763538,8.159673785206067,904
5,7,11,17,4,9,53,3.1403446092681753,8.31579280707717,906
7,10,7,20,6,6,56,3.3589965135924995,8.450409953111008,936
3,15,6,8,7,5,44,3.2939796345921803,8.716118652704479,956
13,13,6,3,6,5,46,3.3366010462825537,8.857312290913686,965
5,15,12,2,8,6,48,3.356075628138465,8.940778760678478,990
2,13,15,2,6,6,44,3.0994374730440852,9.156649431939378,1007
2,10,9,4,5,4,34,2.918986817923838,9.738076303925912,1026
2,8,3,4,6,5,28,2.7053969730289062,10.491844434136747,1043
7,10,14,9,8,6,54,2.935904337145477,10.533450124870539,1067
7,10,9,11,18,6,61,2.827729898190404,10.284959540947401,1068
2,8,7,8,13,7,45,2.7287344641611377,10.862239869844025,1075
0,9,6,6,13,8,42,2.3471726353384232,11.698495980970197,1078
0,3,7,5,0,8,23,2.227611897394276,12.563475581541306,1116
0,21,4,4,1,7,37,2.162009117019911,12.613370586165244,1122
3,30,10,4,1,11,59,2.2913655905088217,12.451777964693951,1138
1,31,11,4,0,6,53,2.248216963293939,12.682242656336154,1131
2,24,10,0,5,1,42,2.2518191048515686,12.834462792765086,1146
0,15,10,17,11,8,61,2.4136707166820774,12.072631557150343,1143
0,5,11,20,15,8,59,2.436074688449691,12.075638845423908,1150
0,9,10,23,8,3,53,2.2307060502567895,12.494941164120196,1136
1,10,13,12,7,6,49,1.9459631187317903,13.29835763842896,1147
11,11,11,2,23,6,64,2.094719446371763,12.875787770076311,1149
11,9,10,15,26,6,77,2.8272181833902015,11.56159799010414,1162
20,12,9,15,27,6,89,3.0547885590757855,11.373370714447283,1181
15,13,7,15,16,4,70,3.094364553356731,11.373252677087597,1184
17,7,7,10,11,6,58,3.043343215528924,11.518911818377614,1193
16,18,7,14,12,7,74,3.0842042593669152,11.28385269290311,1189
15,21,9,13,10,8,76,3.1445394876956487,11.075222169203704,1197
17,22,5,9,10,14,77,3.047602990468501,11.15211766546635,1219
18,18,8,7,12,12,75,2.9567810897220754,11.960530403135692,1237
17,9,6,7,13,17,69,2.5880983427088062,12.80288632766707,1253
6,13,7,7,7,12,52,2.1850732384042,14.037217420885806,1272
18,9,8,4,22,11,72,2.3284510410311703,13.726058098226417,1273
15,8,11,5,33,14,86,2.3581323720186833,13.79245389955875,1292
15,10,16,4,26,11,82,2.539845316004164,13.332545442645415,1299
12,6,16,14,19,12,79,2.678356862080678,12.708822083820166,1302
30,8,11,19,15,10,93,2.782055248395022,12.313146190071617,1304
35,10,10,16,13,10,94,2.8757834921678205,12.529984291730019,1284
32,10,12,15,19,10,98,2.680783691820321,13.098741328117876,1281
14,8,10,7,17,13,69,2.436723293958324,13.86964228892861,1281
17,11,10,5,18,9,70,2.0563775871185137,14.442733240603628,1290
10,7,6,9,13,4,49,1.841157246979985,15.3213227783821,1291
15,25,5,7,10,1,63,1.7683185829299302,15.081567299067693,1283
9,29,5,6,10,2,61,1.7842257746124535,15.285790964906615,1279
7,31,5,1,7,5,56,1.717503352893438,15.484628838018622,1288
8,24,5,15,6,8,66,1.679687499385313,15.639565266213493,1280
9,11,8,22,6,6,62,1.8473448374743158,15.299497233439329,1286
2,11,6,22,7,7,55,1.8614484529346067,15.124916474992776,1283
2,10,7,19,8,7,53,1.9711005739786296,14.777947845301387,1291
5,7,5,22,6,5,50,2.079802694026401,14.73976879446418,1294
4,21,6,19,6,5,61,2.0866022039185204,14.787789674753174,1291
5,20,12,20,5,4,66,2.065000410299647,14.606652431938222,1289
